Name,Web,Facebook,Twitter,Instagram,Bandcamp,About,Bingley Artist,BMT Member,LastUpdated,Image
A Bloody Shambles,,https://www.facebook.com/profile.php?id=100075590184637&sk=events&locale=eo_EO,,,,"An amazing, unique rock covers band.",,,2024-01-30,
Amnesia,,https://www.neilthomas.co.uk/amnesia.html,,,,West Yorkshire based retro covers and party band,no,no,2023-09-08,
Augustin Bousfield,https://www.augustinbousfield.com/,https://www.facebook.com/augustin.bousfield,https://twitter.com/augustinbo,,,"Augustin is from Bradford, UK and has played with Gurgles, Mucky Sailor, Henry Parker,  Nope and many others as well as performing as Lord Adonis, and remixing as Tomorrows Dad. He has recently been co-producing Saint Etienne’s latest album. He’s performed improv sound and noise, solo and with others at Bradford’s Threadfest, Fundada Festival in Halifax, Vespertine Festival in York and the launch of the Doctor Who exhibition at the National Science and Media Museum with jazz pianist Matthew Bourne and baritone guitarist Andy Abbott.",no,no,2023-03-10,
Beckie Brill,,https://www.facebook.com/beckiebrillmusic,,https://www.instagram.com/beckie.music/,,Hi there! Welcome to a world of covers and originals!,,no ,2023-05-25,
Ben Blue Waters,https://www.reverbnation.com/benbluewaters,,,,,"Solo acoustic slide guitar player and singer, performing blues songs from the 1920's onwards.",no,no,2023-03-29,
Ben Greenwell,https://www.bengreenwellmusic.co.uk/,https://www.facebook.com/Ben-Greenwell-music-105191851748554,,,,"Ben Greenwell is a singer/songwriter, harmonica player and guitarist from Yorkshire. With solid grooves and emotive whaling blues harmonica, Greenwell’s soulful voice takes the listener on a journey as he sings about life, loss, love and truth.",no,no,2023-09-28,
Beyond the C,,,,,,,no,no,2023-04-28,
Billy Billy 5P,,https://www.facebook.com/BillyBilly5P,,https://www.instagram.com/billybilly5p/,https://billybilly5p.bandcamp.com/,Leeds based internationally unsuccessful pop / rock group,yes,no,2025-01-21,BillyBilly5p.jpg
Bingley Handbell Ringers,https://bingleyhandbells.org.uk/,https://www.facebook.com/groups/306518791665257,,,,"Bingley Handbell Ringers are based in Church House, Old Main Street , Bingley. We meet at 7pm every Wed evening to practice. We can be booked to perform at your event or venue",,,2023-11-13,
Bingley Weekender,https://bingleyweekender.co.uk/,https://www.facebook.com/bingleyweekend/,https://twitter.com/bingleyweekend,https://www.instagram.com/bingleyweekend/,,A four day music festival held in Bingley each year.,no,no,2023-03-16,
Blue Star Tattoo,,https://www.facebook.com/bluestartattooband,,,,"Classic Rock covers band available for weddings, parties, pubs, clubs, etc",no,no,2023-04-12,
Brad Mack Music,,https://www.facebook.com/bradmackmusic,,,,"Singer, guitarist & songwriter",no,no,2023-06-30,
Bradford Accordian Band,https://www.bradfordaccordionband.co.uk/,https://www.facebook.com/bradfordaccordionband,,,,"Bradford Accordion Band (BAB) is a unique and diverse amateur musical group whose mission is to make great music, whilst having lots of fun! We have been established since 1997 and our membership comprises 32 accordion, keyboard, woodwind, strings and percussion players between the ages of 22 and 91.",yes,yes,2023-04-12,
Bradford Concert Band,https://www.b-c-b.org.uk/,http://www.facebook.com/BradfordConcert,https://twitter.com/BradfordConcert,https://www.instagram.com/bradfordconcertband/,,"A concert band that comprises players of woodwind, brass, and percussion that plays a wide range of music including stage, musical, film and television music, arrangements of light popular music, marches, formal overtures, some of our own arrangements and novelty numbers. ",no,no,2023-03-13,
Calm Before The Storm,,https://www.facebook.com/profile.php?id=100089371275180,,,,"Bradford based Acoustic Duo, Stan Greenwood & Innis Stiles",no,no,2023-02-24,
Calm Before The Storm,,https://www.facebook.com/CalmBeforeTheStorm2023,,,,Bradford based Acoustic Duo. Stan Greenwood & Innis Stiles.,no,no,2023-09-01,
Celena Deans,https://www.lastminutemusicians.com/members/celena.html,https://www.facebook.com/celena.deans/?locale=en_GB,,,,"Celena sings soul classics from the likes of Anita Baker, Jocelyn Brown, Rose Royce , Whitney Houston and Diana Ross to name but a few, but also performs songs from current artists such as Duffy, Amy Winehouse, Leona Lewis, Pixie Lott, Alisha Keys, Beyoncé, Paloma Faith and Sam Smith!",no,no,2024-01-21,
Charlie Faulding,,https://www.facebook.com/charles.faulding.777,,https://www.instagram.com/cfauldingmusic/,,,,no ,2023-05-25,
Charlotte Nicholson,,https://www.facebook.com/charnichmusic,,https://www.instagram.com/char_nichmusic/,,Female singer from Bradford. Singing covers from the 60's to present day,,no ,2023-05-25,
Cornell Daley,,https://www.facebook.com/cornell.daley,,,,"Bingley based singer, songwriter, performer",yes,no,2023-03-15,
Dan McGlade,,https://www.facebook.com/DanMcGlade1969,,,,,no,no,2023-06-30,
Diamond Dac,http://www.diamonddac.com/,https://www.facebook.com/DiamondDac/,,,,"Diamond Dac is a blues player with influences including John Jackson, Louisiana Red, Philadelphia Jerry Ricks and John Cephas, and the great modern performers including Woody Mann, Mike Dowling, John Miller and Michael Messer",,,2023-11-13,
Dirty Deads,,,,,,,no,no,2023-09-08,
Dogfinger Steve,,https://www.facebook.com/dogfinger,,,,Mojo fuelled blues played on 3 and 4 string cigar box guitars.,no,no,2023-09-01,
Dori and The Drivers,,https://www.facebook.com/DustyBoxcarBlues/,,,,In it for the fun and laughs and to play some great music to get you jigging along,no,no,2023-04-25,
Doug Nissley,https://www.dougnissley.com/,https://www.facebook.com/dougniss,,,,"With over 30 Years in music and entertainment, Doug brings his hillbilly country Americana style to the UK.",,,2024-01-21,
Dr Andrew Filmer,,,,,,,no,no,2023-02-23,
Drella,https://linktr.ee/Drellaband,https://www.facebook.com/drellaband,,,,Alt rock trio from Bradford,no,no,2023-03-15,
Eddie Earthquake and the Tremors,,https://www.facebook.com/eddieearthquakeandthetremors,,,,Authentic and energetic beat combo with great harmonies playing rock n roll and pop hits,not known,no,2023-03-08,
Fay and Latta,https://www.fayandlatta.co.uk,https://www.facebook.com/fayandlatta,,,,Acoustic songs and original material.,no,no,2023-02-24,
Floyd In The Flesh,https://www.floydintheflesh.co.uk/,https://www.facebook.com/Floydintheflesh,,,,Authentic and Passionate UK based Tribute to the one and only Pink Floyd!,no,no,2023-03-18,
Frankie Heart,,https://www.facebook.com/frankieheartofficial,,,,Northern Soul & Motown Singer,no,no,2023-02-24,
Go Your Own Way,,https://www.facebook.com/Tributetothem,,,,A Yorkshire based tribute to the music and all things Stevie Nicks & Fleetwood Mac.,,no,2023-06-02,
Guiseley Brass Band,,https://www.facebook.com/guiseleybrassband/,,,,,no,no,2023-03-13,
Halifax Gilbert and Sullivan Society,https://www.halifaxgands.org.uk/,https://www.facebook.com/groups/1402545766717575/,,,,"The Society formed in 1968 and we gave our first fully staged performance 3 years later. We perform our annual show at Halifax Playhouse, usually at the beginning of November.",no,no,2023-06-07,
Hall Royd Band,https://www.hallroydband.org.uk/,,,,,,no,no,2023-03-13,
Hayley Hales,,,,,,Vocalist,,,2023-09-28,
Hazjak,https://www.hazjak.com/,https://www.facebook.com/hazjak,,,,"Americana, Folk, Alt country, Roots, Acoustic",no,no,2023-06-30,
Herr Jen’s Band.,,,,,,,no,no,2023-03-13,
Izak Wilkinson,,https://www.facebook.com/IzakWilkinson/?locale=en_GB,,,,"Acoustic performer playing well known, well loved songs with something for everyone!",,,,
Jack O'Malley,,https://www.facebook.com/Jackomalleymusic,,,,,no,no,2023-09-08,
Jackals,,https://www.facebook.com/profile.php?id=100075618526834,,,,,no,no,2023-02-23,
Jagged Edge,,,,,,,,,2024-01-30,
Jake Keating,http://www.jakekeatingmusic.com/,http://www.facebook.com/JakeKeatingMusic,https://twitter.com/JKeatingMusic,https://www.instagram.com/jakekeatingmusic,,"Yorkshire based Singer/Songwriter, Entertainer and occasional street performer.",no,no,2023-05-10,
Joe Drury,,,,,,Joe is a singer songwriter & guitarist who sounds like Nick Drake fused with James Taylor. Joe is from a local musical family and his songs and voice are spell binding.,no,no,2023-09-01,
John Drury,https://johndrury.bandcamp.com/album/come-up-to-london,,,,,,no,no,2023-02-23,
