Artists,Venue,Date,Time,Price,Tickets,Link,Presents,Description,LastUpdated,Scraped,Cancelled,CancelledText,CancelledLink,Image1,Image2
Floyd In The Flesh,All Saints Parish Church,2023-01-27,19:00,,https://www.tickettailor.com/events/allsaintschurch1/779149?fbclid=IwAR2SY7zOQWbhzPyf77ddPY6fSERUUw_7Te9lpd_e5XYqJHBMAMj-8ASukbw#,https://www.facebook.com/Floydintheflesh/posts/pfbid023hwftEKVdsCgWn5tqq9sVmbhfseB6rB3u9J43Zpj4D37kNie5zn2RcY7zS1A1CDcl,,The fabulous Floyd in the Flesh return for their second concert in All Saints. Enjoy the spectacle of Pink Floyds amazing music coupled with their amazing light and laser show,2023-03-18,,,,,,
Go Your Own Way,All Saints Parish Church,2023-07-21,6:00 PM - 10:30 PM,£20,https://www.tickettailor.com/events/allsaintschurch1/898111,https://www.facebook.com/AleSaintsBingley/posts/pfbid0ezNDHo3nf14Gm72XnEnjxJChansnXodMrCtf75VG2nj5VpATWz8JD8vkMneDxDwQl?__cft__[0]=AZXXNMlhqnY4-3EAKT_CpRSKyi8NqUuNPxH57JrEVHqO1jOAvC-CJdQ6aQPvlIpjmmtBoQHHUAM3AWg0XmEw__IVzmGZszvsyuB5xM7ABSnnwfEbNaFlEugfwDZ9mKusW9c7gAdQQl6NXpj3yAMNcg1SfA2HTiyYC8j1DvBmCVvxRnQ7BQRakrnCP_3rezmNbfQ&__tn__=%2CO%2CP-R,,The fabulous Go Your Own Way (one of the finest tributes to Fleetwood Mac on the UK circuit) are back at All Saints Church on the 21st July. Come and see a fabulous band in a 500 year old church. Licensed bar.,2023-06-02,,,,,,
Bradford Accordion Band,All Saints Parish Church,2023-12-07,19:30,£12 (concessions £10),https://www.tickettailor.com/events/allsaintschurch1/1029468?,https://www.facebook.com/events/359840529810900/,,"Bellows and Barbershop - A Merry Christmas Concert. 

The Bradford Accordion Band and White Rose Concert Chorus singers 
will be performing a Christmas concert inside the amazing 500 year old 
Parish Church in Bingley. There will be a mixture of Christmas 
favourites along with a smattering of other amazing vocal and accordion 
tunes to entertain the lucky audience!
There will be a bar in Church House with a wide selection of drinks 
that we urge people to take across into Church and enjoy the music with a
 drink in your pew! Bar will be open from 6pm.
The seating is unrestricted so if you're coming with a group get into Church to take your seats early!",2023-11-13,,,,,,
Bingley Handbell Ringers,All Saints Parish Church,2023-12-16,14:00,Free,,https://www.facebook.com/groups/306518791665257/posts/633377005646099,,Come and see us play some of your favourite Christmas pieces. The Christmas Tree Festival at All Saint's Church is over the weekend of 15th to 17th December  and the handbells are performing at 2.00pm on Saturday 16th.,2023-11-13,,,,,,
Seven by Seven,Amazing Finds,2023-10-21,14:00 - 21:00,BYOB £5 Corkage Fee per person.,,https://7by7.club/events,,"An open decks vinyl playing session where you can come along and play seven of your 7"" 45s. This is our first foray out of Leeds for a while! We're running a Saturday afternoon/evening session at Amazing Finds in Bingley. This is a vintage and retro shop about 5 minutes walk from Bingley train station (above Martinez wine bar). The venue isn't licensed so if you want a drink it will be bring your own beer (BYOB) with a £5 corkage fee per person. They do sell very nice coffee apparently.",2023-10-13,,,,,,
ABBA Sensation 2023,Bingley Arts Centre,2023-04-28,19:30,£18,https://www.bingleyartscentre.co.uk/events/2023-04-28-abba-sensation-2023,https://www.bingleyartscentre.co.uk/events/2023-04-28-abba-sensation-2023,,"A stunning stage show, which combines costume changes, lighting effects and a faithful reproduction of...",2023-04-27,2023-04-27,,,,,
The Cavern Beatles,Bingley Arts Centre,2023-05-05,19:30,£27.50,https://www.bingleyartscentre.co.uk/events/2023-05-05-the-cavern-beatles,https://www.bingleyartscentre.co.uk/events/2023-05-05-the-cavern-beatles,,"On February 9th 1961, The Beatles made the first of their 292 appearances at the...",2023-04-27,2023-04-27,,,,,
Kitty LaMare,Bingley Arts Centre,2023-05-07,"Doors 12, Food from 1.30pm",£12,https://www.bingleyartscentre.co.uk/events/2023-05-07-big-coronation-sunday-lunch,https://www.bingleyartscentre.co.uk/events/2023-05-07-big-coronation-sunday-lunch,,Come along on Sunday of Coronation Weekend for a Right Royal Sunday Lunch of roast beef with all the trimmings and be entertained in song by the wonderful Kitty LaMare. (Veggie option available).,2023-04-27,,,,,,
Simon & Garfunkel Through the Years,Bingley Arts Centre,2023-05-28,19:30,£20.00,https://www.bingleyartscentre.co.uk/events/2023-05-28-simon-garfunkel-through-the-years,https://www.bingleyartscentre.co.uk/events/2023-05-28-simon-garfunkel-through-the-years,,Seventh Avenue Arts presents: Simon & Garfunkel Through the Years,2023-04-27,2023-04-27,,,,,
Bon Joe V,Bingley Arts Centre,2023-06-10,19:30,"£15.00, approx running time approx 2 hrmins",https://www.bingleyartscentre.co.uk/events/2023-06-10-bon-joe-v,https://www.bingleyartscentre.co.uk/events/2023-06-10-bon-joe-v,,"If you've 'Always' wanted to see the real thing but never had the chance, this...",2023-04-27,2023-04-27,,,,,
GO YOUR OWN WAY - The Fleetwood Mac...,Bingley Arts Centre,2023-06-25,19:30,"£27.00, approx running time 2 hoursmins",https://www.bingleyartscentre.co.uk/events/2023-06-25-go-your-own-way-the-fleetwood-mac-legacy,https://www.bingleyartscentre.co.uk/events/2023-06-25-go-your-own-way-the-fleetwood-mac-legacy,,"Go Your Own Way is a brand new, spellbinding show featuring the music from the...",2023-02-23,2023-02-23,,,,,
Made in Tennessee,Bingley Arts Centre,2023-07-28,19:30,"£24.50 or 1 in 10 go free, approx running time 2 hoursmins",https://www.bingleyartscentre.co.uk/events/2023-07-28-made-in-tennessee,https://www.bingleyartscentre.co.uk/events/2023-07-28-made-in-tennessee,,Made in Tennessee - The soundtrack of American Country.,2023-04-27,2023-04-27,,,,,
Patsy Cline and Friends - 60th Anniversary Show!,Bingley Arts Centre,2023-09-17,19:30,"£18.50, approx running time 2 hrs 30 minsmins",https://www.bingleyartscentre.co.uk/events/2023-09-17-patsy-cline-and-friends-60th-anniversary-show,https://www.bingleyartscentre.co.uk/events/2023-09-17-patsy-cline-and-friends-60th-anniversary-show,,Patsy Cline was a record-breaking artist spending 251 weeks in the Country Music Album Charts...,2023-04-27,2023-04-27,,,,,
PINK FLOYDIAN,Bingley Arts Centre,2023-09-22,19:30,"£22.00, approx running time 2.5hrsmins",https://www.bingleyartscentre.co.uk/events/2023-09-22-pink-floydian,https://www.bingleyartscentre.co.uk/events/2023-09-22-pink-floydian,,Pink Floydian are a 8-piece tribute to the greatest prog rock band of all time....,2023-04-27,2023-04-27,,,,,
Savoyards presents The Goldoliers by Gilbert & Sullivan,Bingley Arts Centre,2023-09-23,19:30,£17/£5. 1 FREE tickets for every 10 booked.,https://www.bingleyartscentre.co.uk/events/2023-09-23-savoyards-presents-the-goldoliers-by-gilbert-sullivan,https://www.bingleyartscentre.co.uk/events/2023-09-23-savoyards-presents-the-goldoliers-by-gilbert-sullivan,,"Your favourite purveyors of G & S are back in this sunny, funny confection of...",2023-04-27,2023-04-27,,,,,
HALEY SISTERS,Bingley Arts Centre,2023-09-29,19:30,£16.00,https://www.bingleyartscentre.co.uk/events/2023-09-29-haley-sisters,https://www.bingleyartscentre.co.uk/events/2023-09-29-haley-sisters,,"Due to popular demand, The Haley Sisters are back!",2023-04-27,2023-04-27,,,,,
Bradford Accordion Band presents: Flower Power and Platforms,Bingley Arts Centre,2023-09-30,19:30,£15 and £12.50,https://www.bingleyartscentre.co.uk/events/2023-09-30-bradford-accordion-band-presents-flower-power-and-platforms,https://www.bingleyartscentre.co.uk/events/2023-09-30-bradford-accordion-band-presents-flower-power-and-platforms,,Always a fantastic show full of great tunes to get your toes tapping!,2023-04-27,2023-04-27,,,,,
NOT THE ROLLING STONES,Bingley Arts Centre,2023-10-05,19:30,£15 and £12.50,https://www.bingleyartscentre.co.uk/events/2023-10-05-not-the-rolling-stones,https://www.bingleyartscentre.co.uk/events/2023-10-05-not-the-rolling-stones,,This band is not to be missed...you won't believe it's not Jagger!,2023-04-27,2023-04-27,,,,,
Killer Rhapsody - a Night of Queen,Bingley Arts Centre,2023-11-04,19:30,£18.00 or 4 for £60,https://www.bingleyartscentre.co.uk/events/2023-11-04-killer-rhapsody-a-night-of-queen,https://www.bingleyartscentre.co.uk/events/2023-11-04-killer-rhapsody-a-night-of-queen,,A tribute to the extraordinary music of Queen,2023-04-27,2023-04-27,,,,,
Afternoon Tea with Kitty LaMare: 70s & 80s...,Bingley Arts Centre,2023-11-29,"Doors 1pm, starts 1:30pm","£9, approx running time 2.5 - 3hrsmins",https://www.bingleyartscentre.co.uk/events/2023-11-29-afternoon-tea-with-kitty-lamare-70s-80s-party-music,https://www.bingleyartscentre.co.uk/events/2023-11-29-afternoon-tea-with-kitty-lamare-70s-80s-party-music,,"A delicious afternoon tea, served with large dollops of good music and a plateful of...",2023-11-22,2023-11-22,,,,,
A Brief History of Christmas,Bingley Arts Centre,2023-12-03,19:30,"£12, approx running time 90mins, interval 20mins",https://www.bingleyartscentre.co.uk/events/2023-12-03-a-brief-history-of-christmas,https://www.bingleyartscentre.co.uk/events/2023-12-03-a-brief-history-of-christmas,,"600 Years of Yuletide Songs, Carols, Tunes and Tales",2023-11-22,2023-11-22,,,,,
Bradford and Airedale Youth Choir presents: A Winter...,Bingley Arts Centre,2023-12-10,3:00pm (Doors at 2:30pm),£10 (£5 Concs),https://www.bingleyartscentre.co.uk/events/2023-12-10-bradford-and-airedale-youth-choir-presents-a-winter-warmer,https://www.bingleyartscentre.co.uk/events/2023-12-10-bradford-and-airedale-youth-choir-presents-a-winter-warmer,,"Bradford and Airedale Youth Choir, Ilkley Youth Choir, and Ilkley Stage Singers are excited to...",2023-11-22,2023-11-22,,,,,
Dire Streets - the Dire Straits Tribute band,Bingley Arts Centre,2023-12-16,19:30,"£27.00, approx running time 2 hrsmins",https://www.bingleyartscentre.co.uk/events/2023-12-16-dire-streets-the-dire-straits-tribute-band,https://www.bingleyartscentre.co.uk/events/2023-12-16-dire-streets-the-dire-straits-tribute-band,,Dire Streets bring to life the classic songs of one of the world’s greatest guitar...,2023-11-22,2023-11-22,,,,,
